"year","month","WEEKDAY","member_casual","rideable_type","cantidad","avg_time_length","max_time_length","min_time_length","median_time_length","avg_distance","min_distance","max_distance","median_distance"
2023,4,1,"casual","classic_bike",6350,"00:30:45","23:50:03","00:00:00","00:15:37",2.04400379742608,0,21.9906064928319,1.48766507519196
2023,4,1,"casual","docked_bike",1340,"01:12:51","22:55:10","00:00:00","00:29:49",2.12205179870671,0,15.3370034265119,1.57002148896612
2023,4,1,"casual","electric_bike",11076,"00:14:53","06:07:39","00:00:00","00:09:18",1.96941978046326,0,19.7911572523779,1.45242512401836
2023,4,1,"member","classic_bike",12964,"00:13:49","22:55:11","00:00:00","00:08:55",1.88128157227927,0,17.2315327052424,1.33970242418773
2023,4,1,"member","electric_bike",16584,"00:10:43","08:00:27","00:00:00","00:07:08",2.0470479197519,0,21.6840112215692,1.47369644890472
2023,4,2,"casual","classic_bike",3701,"00:23:45","22:22:34","00:00:00","00:11:36",1.77962940763283,0,17.7686487568295,1.32506631699805
2023,4,2,"casual","docked_bike",695,"00:56:15","21:29:13","00:00:00","00:26:47",1.94450108873653,0,11.5155533777703,1.40272352026784
2023,4,2,"casual","electric_bike",7723,"00:12:07","08:00:00","00:00:00","00:08:03",1.8659584381593,0,18.4466222238016,1.38851652053097
2023,4,2,"member","classic_bike",14794,"00:11:06","13:43:58","00:00:00","00:07:55",1.78623357789087,0,14.6787747965738,1.25815516877371
2023,4,2,"member","electric_bike",19130,"00:09:21","07:59:55","00:00:01","00:06:42",1.9887176433997,0,19.3944209830835,1.40488521220701
2023,4,3,"casual","classic_bike",4876,"00:23:58","22:52:21","00:00:00","00:12:51",1.95203422808063,0,21.8386226166358,1.46918814090474
2023,4,3,"casual","docked_bike",817,"00:49:12","17:24:40","00:00:00","00:25:59",1.98563506932771,0,18.4386434116724,1.53998362766884
2023,4,3,"casual","electric_bike",10133,"00:12:59","07:59:58","00:00:00","00:08:26",2.00418622102816,0,25.0296897010984,1.4849368060201
2023,4,3,"member","classic_bike",17633,"00:12:50","21:02:37","00:00:00","00:08:28",1.90626346880476,0,16.402807091035,1.33844552541232
2023,4,3,"member","electric_bike",22859,"00:10:02","07:59:54","00:00:00","00:07:20",2.11612011217406,0,22.2045698023782,1.53025104101539
2023,4,4,"casual","classic_bike",5725,"00:23:19","21:12:31","00:00:00","00:13:02",1.91955879605188,0,20.7430709530592,1.41348721628503
2023,4,4,"casual","docked_bike",925,"00:53:57","23:09:14","00:00:00","00:25:16",2.24894085575391,0,17.3279184014042,1.69002558699463
2023,4,4,"casual","electric_bike",11720,"00:13:11","07:10:02","00:00:00","00:08:43",2.03216024079684,0,18.8828779457228,1.53966443837064
2023,4,4,"member","classic_bike",18599,"00:12:34","18:21:15","00:00:00","00:08:35",1.92697274239514,0,14.6787747965738,1.35005503437082
2023,4,4,"member","electric_bike",24477,"00:10:05","07:59:58","00:00:00","00:07:32",2.16341228686068,0,21.3809347189325,1.59189035334314
2023,4,5,"casual","classic_bike",7547,"00:23:30","21:53:23","00:00:00","00:12:47",1.92730362042115,0,18.4335427558485,1.41988259069477
2023,4,5,"casual","docked_bike",1219,"00:52:27","22:23:22","00:00:00","00:26:30",2.09810121523234,0,12.2774890049395,1.5961909538305
2023,4,5,"casual","electric_bike",14741,"00:13:36","06:10:40","00:00:00","00:09:16",2.10611763888971,0,33.867606975517,1.59087830585543
2023,4,5,"member","classic_bike",20967,"00:12:31","23:40:18","00:00:00","00:08:50",1.93401893501096,0,19.7379512348435,1.36478497663566
2023,4,5,"member","electric_bike",27351,"00:10:37","07:59:55","00:00:00","00:07:49",2.20751553921538,0,19.8716349318938,1.62286350755982
2023,4,6,"casual","classic_bike",8487,"00:26:10","22:18:27","00:00:00","00:14:24",2.05502423520319,0,19.6612210212557,1.51790920749107
2023,4,6,"casual","docked_bike",1567,"00:50:08","22:28:09","00:00:00","00:28:41",2.10685783589849,0,13.2143745229978,1.65294577135739
2023,4,6,"casual","electric_bike",15868,"00:14:10","08:00:27","00:00:01","00:09:24",2.0564064743917,0,21.0743631000234,1.55113379974053
2023,4,6,"member","classic_bike",18447,"00:12:35","23:53:18","00:00:00","00:08:47",1.87993337510269,0,18.5494960203806,1.35625499945838
2023,4,6,"member","electric_bike",25135,"00:10:23","07:59:54","00:00:00","00:07:29",2.1317925494998,0,19.3351752756266,1.55277246327241
2023,4,7,"casual","classic_bike",12213,"00:28:14","23:32:47","00:00:00","00:16:32",2.15317245530903,0,19.5346461911081,1.58827163445948
2023,4,7,"casual","docked_bike",2324,"00:54:55","23:35:30","00:00:00","00:28:02",2.20727134399019,0,18.2766257834226,1.58151460918313
2023,4,7,"casual","electric_bike",18238,"00:16:21","07:59:59","00:00:00","00:10:55",2.14506138721512,0,24.8634460880882,1.64815704292288
2023,4,7,"member","classic_bike",17435,"00:14:29","22:01:40","00:00:00","00:09:41",2.00700364958197,0,19.4632414878661,1.44815798219867
2023,4,7,"member","electric_bike",22930,"00:11:30","08:01:24","00:00:00","00:08:03",2.19871785232945,0,21.7557692651737,1.64181875643275
