"year","month","WEEKDAY","member_casual","rideable_type","cantidad","avg_time_length","max_time_length","min_time_length","median_time_length","avg_distance","min_distance","max_distance","median_distance"
2023,3,1,"casual","classic_bike",2445,"00:22:53","20:29:28","00:00:00","00:12:34",1.82354873899979,0,20.5971971067374,1.42120473196889
2023,3,1,"casual","docked_bike",477,"00:48:38","22:59:39","00:00:00","00:22:40",2.03390345699519,0,15.3659244103643,1.55947598517155
2023,3,1,"casual","electric_bike",4464,"00:12:47","07:30:07","00:00:00","00:08:32",1.90408936970909,0,15.624793985975,1.496048606107
2023,3,1,"member","classic_bike",8011,"00:11:50","12:10:21","00:00:00","00:08:06",1.70528508265468,0,12.9525079776955,1.22761981935572
2023,3,1,"member","electric_bike",9178,"00:09:56","07:52:11","00:00:02","00:06:45",1.95084324621516,0,19.2080736005501,1.39521370987467
2023,3,2,"casual","classic_bike",1952,"00:20:14","23:09:39","00:00:00","00:09:49",1.5525309435093,0,17.1148882002693,1.22182669590251
2023,3,2,"casual","docked_bike",330,"00:42:31","23:05:38","00:00:00","00:20:33",1.88157461511466,0,9.61574369410254,1.53426556503016
2023,3,2,"casual","electric_bike",4536,"00:10:14","04:37:40","00:00:00","00:07:06",1.71078431020907,0,14.1761142667937,1.38704469069485
2023,3,2,"member","classic_bike",11399,"00:10:54","23:42:22","00:00:00","00:07:28",1.6726384524144,0,12.2358332076812,1.21074808388465
2023,3,2,"member","electric_bike",13991,"00:08:51","07:07:11","00:00:00","00:06:33",1.91237088182463,0,14.765232648493,1.38843912312053
2023,3,3,"casual","classic_bike",2978,"00:19:47","22:36:17","00:00:00","00:10:39",1.80666221041014,0,11.9454094891431,1.36920077698786
2023,3,3,"casual","docked_bike",382,"00:59:54","22:37:19","00:00:00","00:24:48",2.09686709111256,0,10.6085264931062,1.71087466992976
2023,3,3,"casual","electric_bike",5859,"00:10:39","02:59:48","00:00:00","00:07:29",1.83580952883638,0,21.3410333898146,1.38851652053097
2023,3,3,"member","classic_bike",14760,"00:11:25","20:54:32","00:00:00","00:07:46",1.75526046663549,0,14.6180865753729,1.23521452150736
2023,3,3,"member","electric_bike",17368,"00:09:20","07:59:52","00:00:00","00:06:51",2.01150468717397,0,21.3809347189325,1.46432334414276
2023,3,4,"casual","classic_bike",3655,"00:18:10","20:18:24","00:00:00","00:10:07",1.70062900716466,0,14.4493352841806,1.32803267274852
2023,3,4,"casual","docked_bike",551,"00:39:02","22:07:17","00:00:00","00:21:07",1.89344900205313,0,12.6090855227947,1.55870716066972
2023,3,4,"casual","electric_bike",7099,"00:10:11","02:57:17","00:00:00","00:07:23",1.77038473707673,0,13.221891663084,1.38793584797626
2023,3,4,"member","classic_bike",18143,"00:11:13","19:54:00","00:00:00","00:07:47",1.74945962606871,0,12.5323009128401,1.24794825185892
2023,3,4,"member","electric_bike",21608,"00:09:30","08:00:27","00:00:01","00:06:56",2.0353938507667,0,16.9223281769309,1.48358186818728
2023,3,5,"casual","classic_bike",3067,"00:18:15","20:04:58","00:00:00","00:09:22",1.68109598962985,0,17.1127599384627,1.2387176285208
2023,3,5,"casual","docked_bike",371,"00:45:02","19:25:51","00:00:00","00:19:34",1.87685458272624,0,11.0217131579185,1.68998604808471
2023,3,5,"casual","electric_bike",6687,"00:09:57","02:37:53","00:00:01","00:07:15",1.77294222260304,0,14.7376991111771,1.38743226440035
2023,3,5,"member","classic_bike",15819,"00:10:31","21:04:47","00:00:00","00:07:33",1.6898092209903,0,12.8051214647905,1.21859508329986
2023,3,5,"member","electric_bike",20083,"00:09:08","08:00:24","00:00:01","00:06:45",1.96337191746813,0,15.0928436621174,1.41612908604175
2023,3,6,"casual","classic_bike",2764,"00:19:27","23:47:34","00:00:00","00:10:28",1.59702550617273,0,13.7194441883037,1.24934722245113
2023,3,6,"casual","docked_bike",441,"00:46:55","22:44:22","00:00:00","00:20:02",1.9179720951523,0,11.8513406922027,1.53998362766884
2023,3,6,"casual","electric_bike",6157,"00:10:40","07:59:52","00:00:02","00:07:31",1.77375295366605,0,15.9365655116162,1.38727725963192
2023,3,6,"member","classic_bike",12199,"00:10:34","14:18:35","00:00:00","00:07:24",1.60317064425193,0,14.2675536703696,1.17641640861857
2023,3,6,"member","electric_bike",16956,"00:09:26","07:59:57","00:00:00","00:06:29",1.87491725294216,0,16.7830086158934,1.38743226440035
2023,3,7,"casual","classic_bike",2595,"00:23:35","21:52:24","00:00:00","00:11:11",1.76775535750663,0,19.5205616887751,1.36929215504252
2023,3,7,"casual","docked_bike",468,"00:34:27","20:27:19","00:00:00","00:18:33",1.81151719631141,0,12.7085062070042,1.53553605689902
2023,3,7,"casual","electric_bike",4923,"00:11:16","02:59:19","00:00:02","00:08:07",1.82389879660791,0,13.1120932328307,1.39269487284988
2023,3,7,"member","classic_bike",7296,"00:12:09","22:17:41","00:00:00","00:08:00",1.70374032182029,0,13.6427686913647,1.22431839729838
2023,3,7,"member","electric_bike",9666,"00:10:18","07:57:01","00:00:00","00:07:01",1.96061683465668,0,13.9921346498302,1.4157832920455
