"year","month","WEEKDAY","member_casual","rideable_type","cantidad","avg_time_length","max_time_length","min_time_length","median_time_length","avg_distance","min_distance","max_distance","median_distance"
2022,11,1,"casual","classic_bike",4541,"00:21:37","20:40:58","00:00:00","00:12:38",1.95676178093537,0,14.7566501383133,1.46759342608424
2022,11,1,"casual","docked_bike",912,"00:40:05","17:54:53","00:00:00","00:25:09",2.17533233478181,0,12.2252760180445,1.63671871826923
2022,11,1,"casual","electric_bike",7044,"00:12:36","07:59:55","00:00:00","00:08:37",2.00232455759858,0,15.9389680161258,1.53942582914271
2022,11,1,"member","classic_bike",10104,"00:12:04","18:53:56","00:00:00","00:08:04",1.72880550668957,0,18.767106726982,1.22761981935572
2022,11,1,"member","electric_bike",11103,"00:11:00","07:59:59","00:00:00","00:07:22",2.09367682071414,0,21.0334096178938,1.48836298269448
2022,11,2,"casual","classic_bike",3111,"00:16:56","18:43:03","00:00:00","00:08:52",1.57563502054922,0,15.4370518219295,1.24785200089188
2022,11,2,"casual","docked_bike",512,"00:39:22","21:40:10","00:00:00","00:21:06",1.8344281187909,0,12.6090855227947,1.50321875169857
2022,11,2,"casual","electric_bike",6677,"00:09:54","02:49:03","00:00:00","00:07:10",1.76063669571273,0,26.6816431177478,1.38735476743636
2022,11,2,"member","classic_bike",15644,"00:11:17","17:09:42","00:00:00","00:07:28",1.65663454393176,0,15.6433340055699,1.17890296518325
2022,11,2,"member","electric_bike",16661,"00:09:26","07:59:57","00:00:01","00:06:49",1.97946750576365,0,17.2047197645144,1.43710754300394
2022,11,3,"casual","classic_bike",4623,"00:16:43","18:26:34","00:00:00","00:09:50",1.70621833997603,0,18.4942961266128,1.31739070651252
2022,11,3,"casual","docked_bike",768,"00:38:41","19:22:52","00:00:00","00:23:41",2.07191389829519,0,20.9048889403845,1.58835523153259
2022,11,3,"casual","electric_bike",10417,"00:10:34","03:37:54","00:00:00","00:07:39",1.87538003021013,0,20.1074660758666,1.44386968479204
2022,11,3,"member","classic_bike",21492,"00:11:12","21:37:19","00:00:00","00:07:58",1.76320961294654,0,19.6879499591299,1.24775338055129
2022,11,3,"member","electric_bike",24622,"00:10:06","07:59:54","00:00:00","00:07:18",2.10446347300777,0,30.3483224447213,1.52127276667647
2022,11,4,"casual","classic_bike",5430,"00:17:21","18:13:22","00:00:00","00:10:06",3.58915553647516,0,9824.06260715675,1.34250220199223
2022,11,4,"casual","docked_bike",860,"00:42:34","23:57:35","00:00:00","00:23:04",2.00316684633797,0,22.6292777652026,1.60214105380676
2022,11,4,"casual","electric_bike",11489,"00:11:06","03:05:02","00:00:01","00:07:58",2.79857793792078,0,9825.06405648695,1.46429065873012
2022,11,4,"member","classic_bike",22079,"00:11:20","12:27:09","00:00:00","00:08:07",4.43825917671431,0,9824.37378352046,1.26282135589447
2022,11,4,"member","electric_bike",25369,"00:10:12","07:59:55","00:00:00","00:07:27",2.117149508625,0,18.0038851509782,1.54979760809389
2022,11,5,"casual","classic_bike",6483,"00:19:39","19:22:52","00:00:00","00:11:23",1.80229109863361,0,15.373429511482,1.37400667478757
2022,11,5,"casual","docked_bike",1085,"00:40:48","23:27:36","00:00:00","00:23:14",1.88933529450518,0,13.3989738193145,1.46137186676086
2022,11,5,"casual","electric_bike",10413,"00:12:16","04:18:56","00:00:00","00:08:33",2.04452731008428,0,27.9026325665366,1.5467220842325
2022,11,5,"member","classic_bike",18955,"00:11:47","23:54:45","00:00:00","00:08:28",1.83486972227841,0,22.8976500747187,1.30261061742845
2022,11,5,"member","electric_bike",20170,"00:10:44","07:55:33","00:00:00","00:07:49",2.22999690163652,0,22.7815743134839,1.62413113890328
2022,11,6,"casual","classic_bike",4903,"00:18:00","19:41:58","00:00:00","00:10:33",1.68410011269773,0,13.4140219828585,1.30784346379455
2022,11,6,"casual","docked_bike",929,"00:38:57","13:18:10","00:00:00","00:23:22",2.1109103796742,0,14.4593373985645,1.57350895830462
2022,11,6,"casual","electric_bike",8706,"00:11:43","03:32:28","00:00:01","00:08:15",1.91444755507686,0,20.2213461260466,1.44289711767695
2022,11,6,"member","classic_bike",14242,"00:11:32","20:35:04","00:00:00","00:07:54",1.69278211774932,0,14.4827736942383,1.22543956616598
2022,11,6,"member","electric_bike",16082,"00:10:20","08:00:21","00:00:00","00:07:21",2.09633355552601,0,16.6970520073752,1.52097078182786
2022,11,7,"casual","classic_bike",3961,"00:20:33","23:59:56","00:00:00","00:11:11",1.67112382326406,0,18.4335427558485,1.33306403731137
2022,11,7,"casual","docked_bike",820,"00:41:16","22:47:29","00:00:00","00:23:47",2.22865675861893,0,12.9298448177373,1.60869184342865
2022,11,7,"casual","electric_bike",7088,"00:11:48","03:41:37","00:00:01","00:08:11",1.84694558423053,0,20.7822253670415,1.42745605073669
2022,11,7,"member","classic_bike",9033,"00:11:57","23:59:50","00:00:00","00:07:56",1.62425150782385,0,22.5443777124988,1.18024925360272
2022,11,7,"member","electric_bike",11407,"00:10:09","07:59:58","00:00:01","00:07:01",1.99674579185451,0,15.1841332305405,1.42765402685063
